Training started at: 2025-05-26 15:55:42
Device: cuda, Num Epochs: 100, Model: UNet
Batch Size: 8, Learning Rate: 0.0008
Loss Function: TverskyLoss, Optimizer: Adam
Weight Decay: None
Dropout: 0.05
Patch Size: 128
Epoch, AvgTrainLoss, 
1, 0.524683, 
2, 0.422499, 
3, 0.401934, 
4, 0.387651, 
5, 0.378291, 
6, 0.374406, 
7, 0.369002, 
8, 0.360779, 
9, 0.365313, 
10, 0.357468, 
11, 0.347167, 
12, 0.344625, 
13, 0.346369, 
14, 0.341189, 
15, 0.341984, 
16, 0.337059, 
17, 0.333226, 
18, 0.325300, 
19, 0.324497, 
20, 0.327593, 
21, 0.321517, 
22, 0.322538, 
23, 0.319654, 
24, 0.316372, 
25, 0.317978, 
26, 0.309478, 
27, 0.308889, 
28, 0.315562, 
29, 0.303049, 
30, 0.299520, 
31, 0.295501, 
32, 0.296858, 
33, 0.287546, 
34, 0.293973, 
35, 0.286925, 
36, 0.288910, 
37, 0.282839, 
38, 0.289094, 
39, 0.279533, 
40, 0.286190, 
41, 0.282121, 
42, 0.268740, 
43, 0.271928, 
44, 0.299689, 
45, 0.282451, 
46, 0.273471, 
47, 0.265727, 
48, 0.263470, 
49, 0.262069, 
50, 0.256553, 
51, 0.271457, 
52, 0.269381, 
53, 0.263968, 
54, 0.258690, 
55, 0.253224, 
56, 0.248993, 
57, 0.245986, 
58, 0.266462, 
59, 0.256304, 
60, 0.251526, 
61, 0.250498, 
62, 0.254145, 
63, 0.251197, 
64, 0.251070, 
65, 0.242187, 
66, 0.248316, 
67, 0.250811, 
68, 0.245868, 
69, 0.246874, 
70, 0.247914, 
71, 0.241052, 
72, 0.238810, 
73, 0.238264, 
74, 0.243757, 
75, 0.238861, 
76, 0.243907, 
77, 0.239823, 
78, 0.233098, 
79, 0.229415, 
80, 0.238246, 
81, 0.230040, 
82, 0.230525, 
83, 0.233463, 
84, 0.230262, 
85, 0.226848, 
86, 0.228013, 
87, 0.228137, 
88, 0.226521, 
89, 0.230233, 
90, 0.229491, 
91, 0.231009, 
92, 0.233897, 
93, 0.225277, 
94, 0.232548, 
95, 0.226861, 
96, 0.225701, 
97, 0.224374, 
98, 0.215847, 
99, 0.216744, 
100, 0.217512, 
Training finished at: 2025-05-26 20:23:27
